"The C++ Programming Language","Stroustup, Bjarne","The c++ reference book","020112078X","English"
"The Man In The Mirror","Morley, Patric M.","Solving the 24 problems men face","0310217687","English"
"The New Kornshell","Bolski, Morris I.","This book contains a tutorial that describes both the functions of ksh as an interactive command language and as a programming language","0131827006","English"
"The Power Of Transforming Prayer","Sanders, J. Oswald","Learning to pray more effectively","9781627079563","English"
"The Story Of Scripture","Castleman, Robbie F.","12 Studies for Individuals or groups","9780830831296","English"
"Twelve Unlikely Heros","MacAuthur, John","How God Commissioned Unexpected People in the Bible and What He Wants to Do with You","9781400204106","English"
"Using Samba","Eckstein, Robert","A guidebook to help you implement samba on a Linux operating system","0596002564","English"
"Vic 20 Programmer'S Reference Guide","Finkel, A.","Learn to program a Commodore Vic-20","99999","English"
"Web, Graphics & Perl/Tk","Orwant, J o n","Web design using CGI and perl/tk","0596003110","English"
"Writing Ms-Dos Device Drivers","Lai, Robert s.","This book will teach you how to write your own device driver to interface any hardware device in your system we will explore various parts of the dos device drivers by developing and Coding several examples.","0201-608-375","English"
"Z80 Assembly Language Subroutines","Saville, Winthrop","Learn how to program a Z80 processor in assembly language","0931988918","English"

